lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
39051,10,2,14,1,2025-04-29 23:04:19.187000000
39051,10,3,129,1,2025-04-29 23:04:19.187000000
39051,10,4,338,1,2025-04-29 23:04:19.190000000
39054,11,1,0,1,2025-04-29 23:04:19.190000000
39058,14,1,217,1,2025-04-29 23:04:17.593000000
39058,16,1,217,1,2025-04-29 23:04:17.597000000
39060,13,1,217,1,2025-04-29 23:04:17.600000000
39060,15,1,217,1,2025-04-29 23:04:17.603000000
39063,11,1,333,1,2025-04-29 23:04:23.420000000
39063,11,2,372,1,2025-04-29 23:04:23.423000000
39068,13,1,217,1,2025-04-29 23:04:23.423000000
39068,19,1,217,1,2025-04-29 23:04:23.437000000
39071,9,1,217,1,2025-04-29 23:04:16.930000000
39071,14,1,217,1,2025-04-29 23:04:16.940000000
39073,4,1,333,1,2025-04-29 23:04:16.940000000
39073,4,2,372,1,2025-04-29 23:04:16.943000000
39075,14,1,176,1,2025-04-29 23:04:23.427000000
39080,4,1,110,1,2025-04-29 23:04:24.037000000
39080,4,2,238,1,2025-04-29 23:04:24.037000000
39082,6,1,0,1,2025-04-29 23:04:23.440000000
39084,5,1,0,1,2025-04-29 23:04:16.943000000
39086,10,1,0,1,2025-04-29 23:04:24.040000000
39116,5,1,0,1,2025-04-29 23:04:17.603000000
39118,5,1,0,1,2025-04-29 23:04:17.607000000
39121,9,1,263,1,2025-04-29 23:04:24.043000000
39122,3,1,281,1,2025-04-29 23:04:22.957000000
39128,7,1,366,2,2024-08-05 20:29:39.237000000
39128,10,2,366,1,2025-04-29 23:04:24.047000000
39139,4,1,0,1,2025-04-29 23:04:22.817000000
39189,7,1,0,1,2025-04-29 23:04:23.373000000
39226,7,1,198,1,2025-04-29 23:04:23.423000000
39230,4,1,372,1,2025-04-29 23:04:17.607000000
39230,6,1,372,1,2025-04-29 23:04:17.610000000
39232,3,1,372,1,2025-04-29 23:04:17.613000000
39232,5,1,372,1,2025-04-29 23:04:17.617000000
39237,7,1,322,1,2024-08-05 19:04:47.903000000
